sentence,source,target,relation
the famous landmark stands just behind tourist attraction inside country controlled a city,famous,,['stands']
An umbrella leans against a pillar of a building.,umbrella,building,"['leans', 'against']"
woman buying a baguette in a bakery,,bakery,['woman']
students work on homework during a free afterschool program .,students,free,"['work', 'on']"
every color i need in my life shows up when it rains at the beach .,when,,['shows']
interior of an airplane on an intercontinental flight,,intercontinental,"['interior', 'of']"
A bathroom with a shower curtain over a bathtub next to a sink.,,next,"['bathroom', 'with']"
Close on a solitary red rose petal as it falls slowly through the air.,rose,it,['petal']
a climber scales an arch from the remains of a collapsed cave,climber,collapsed,['scales']
the upper balcony seems to float above the dining table .,upper,,['seems']
armed force and commercial ships anchored off the coast during an aerial tour,armed,,"['anchored', 'off']"
example of an urban bathroom design with an integrated sink,,integrated,"['example', 'of']"
A climber moves onto a large rock,climber,large,"['moves', 'onto']"
"A plate of pasta with sauce, cheese and broccoli on it. ",,it,"['plate', 'of']"
A group of giraffes hang around in the zoo.,group,zoo,['hang']
The moon appears from behind a bank of cloud.,moon,cloud,"['appears', 'from']"
white lamb and black sheep lying on the meadow,,lamb,['sheep']
group of smiling young people having fun in the forest,,young,"['group', 'of']"
boats moored to an old wooden jetty,boats,wooden,"['moored', 'to']"
wild flowers carpet the desert along protected site at the national,wild,,['carpet']
add modern style to your bathroom with the toilet,,modern,"['add', 'modern']"
an arrow on a road as a concept to lead us to keep going ahead,,us,"['arrow', 'on']"
useful and harmful food for people in the form of heart,,useful,"['food', 'for']"
aerial harbor at sunrise with a boat leaving a marina,,aerial,"['harbor', 'at']"
train at the railway station in winter,,railway,"['train', 'at']"
attention to detail throughout the property,,property,"['attention', 'to']"
rural highway leading to a city through meadows .,,rural,['highway']
"A pizza with meat, cheese and tomato sauce.",,meat,"['pizza', 'with']"
Dark fire hydrant with silver top near curb.,,silver,"['hydrant', 'with', 'silver']"
fireworks illuminate the sky over gothic structure to celebrate person,fireworks,gothic,['illuminate']
i love the idea and colors but not so fond of the font .,i,so,['love']
light streams through windows at the railroad and ferry terminal creating a beautiful silhouette,,beautiful,"['streams', 'through']"
sun breaks on the horizon,sun,horizon,"['breaks', 'on']"
roots of languages and how countries are linked to the wider world,how,,"['roots', 'of']"
A patch of grass is growing near a fire hydrant.,patch,fire,"['growing', 'near']"
A desk with two laptops and one desktop.,,two,"['desk', 'with']"
A train is pulling into a station stop with red benches.,train,red,"['pulling', 'into']"
hands forming a heart shape painted in multiple colors,,multiple,['hands']
treatments for all ages keep the whole family smiling,treatments,whole,['keep']
rough weather and waves along the coast,,rough,['weather']
a desk with a laptop and monitor and keyboard,,laptop,"['desk', 'with']"
politicians greet religious leader as he arrives on a trip .,religious,,"['greet', 'religious']"
happy casual couple embracing under blue sky on a sunny day,,sunny,['couple']
an astronaut drifting in space is rescued by a space shuttle orbiting earth,astronaut,space,"['rescued', 'by']"
A black and brown cat standing on air vent above a stove.,,black,['cat']
the coast shrouded in mist at dusk,coast,dusk,"['shrouded', 'in']"
politician reaches for a falling balloon at the conclusion .,politician,falling,"['reaches', 'for']"
a felled tree comes to life on the downs,felled,,"['comes', 'to']"
the sun beginning to break through the wintry cloud on cold morning,,cold,['sun']
beautiful blue bird perched on a branch surrounded by red flowers .,,red,['bird']
fireworks explode during ceremony for recurring competition,fireworks,recurring,"['explode', 'during']"
the city also hosts music festival,city,also,['hosts']
tulips framed print featuring the painting by person,tulips,person,['framed']
stream flowing in slow motion among boulders through montane rainforest at elevation,,montane,['stream']
i added the zucchini after mins of cooking the shrimps and now will cook them for minutes together,i,now,['added']
The pizza on the plate is covered in macaroni.,pizza,macaroni,"['covered', 'in']"
a soldier says goodbye to his best friend,soldier,best,['says']
spent a fair amount of my trip admiring this work of art,,fair,['spent']
A first wrestler will win the match.,first,,['win']
a snowboarder kicks up a cloud of snow,snowboarder,snow,['kicks']
satellite orbits toward the sun to experience one of the sunrises the crew has every day,crew,sunrises,['experience']
canoes and kayaks beside a lake,,lake,['canoes']
try an arrangement of a single type of flower,,single,['try']
A racer turning into a curve on his motorcycle.,,motorcycle,['racer']
a city on the map marked with a red a pin and passports,,red,"['city', 'on']"
a worker on the site of new construction .,,new,"['worker', 'on']"
a car for sale at a dealership in a city,,city,"['car', 'for']"
drinking nectar from a flower,,flower,['drinking']
explore the several local theme parks and attractions,,local,['explore']
A train crosses a bridge over a stream.,train,stream,['crosses']
building function in the style,,building,"['function', 'in']"
things i wish i knew before buying a home,i,home,['things']
species a species is a group of organisms that are closely related .,that,organisms,['is']
the large showy flowers first form as dangling bells that later open up into cup shaped blossoms,dangling,,"['flowers', 'first']"
"A sandwich with bread, cheese, meat, lettuce and tomato.",,bread,"['sandwich', 'with']"
A lot of colorful umbrellas lay out on the grass.,lot,colorful,['lay']
football player turning out for country as they lost in the qualifying match,football,they,['player']
high aerial view of a large herd of buffalo moving across the plains,,large,"['view', 'of']"
map showing the locations of the studied caves,,studied,['map']
tourist attraction guarded by soldiers,,tourist,['attraction']
She reaches inside the refrigerator to grab a bottle.,She,bottle,"['reaches', 'inside']"
set of icons on the theme of wine in different styles,,different,"['set', 'of']"
young woman practicing yoga on new year on the galaxy pointing on a bright star .,,bright,['woman']
A pizza is loaded with tomatoes and other toppings.,pizza,tomatoes,"['loaded', 'with']"
a star filled sky over a city,,city,['star']
christmas lights and decorations in a city .,,christmas,['lights']
A plane siting on a showy tarmac at an airport,,showy,"['siting', 'on']"
the staff will gladly bring your drink to you at the pool or on the beach .,staff,gladly,['bring']
tourists dining next to boats in the harbor,,next,['tourists']
several mallard ducks sleeping together on the green grass,,green,['ducks']
flags were seen flying at half mast from the roof this evening in honour of person,flags,evening,['seen']
lion sleeping on a rock,,rock,['lion']
customers check in for a flight,customers,flight,['check']
a bench by the sea and an airplane approaching to the airport,,airport,"['bench', 'by']"
rescuers take a victim of the blast to a waiting ambulance .,rescuers,waiting,['take']
when paired with our simple engagement ring above this band creates,,simple,['creates']
a kingfisher waits for the prey on its branch,kingfisher,branch,"['waits', 'for']"
dead fish on a beach surrounded by washed up garbage,,dead,"['fish', 'on']"
The wrestler is fighting a match.,wrestler,match,['fighting']
a traditional recipe and history for dish from author,,traditional,['recipe']
a coffee table with hidden storage is another great way to hide toys in your apartment .,coffee,table,['is']
Refrigerator filled with food on all the shelves.,Refrigerator,shelves,"['filled', 'with']"
boxer shocked the world when he ended reign as heavyweight champion,when,,['shocked']
diy stained glass with sheets stuck to windows .,,stained,"['glass', 'with']"
